_id,emocion,frase
6696a88c332699640dc4e49b,ansiedad,Tengo miedo de no poder ser quien quiero ser.
6696a88c332699640dc4e49c,depresion,Siento que estoy perdiendo mi sentido de la realidad.
6696a88c332699640dc4e49d,ansiedad,Tengo miedo de tomar decisiones.
6696a88c332699640dc4e49e,depresion,Me siento como si estuviera en una batalla constante.
6696a88c332699640dc4e49f,depresion,Me siento como si estuviera en una guerra conmigo mismo.
6696a88c332699640dc4e4a0,depresion,Tengo problemas para recordar cosas.
6696a88c332699640dc4e4a1,depresion,Me siento solo incluso cuando estoy con gente.
6696a88c332699640dc4e4a2,depresion,Tengo problemas para encontrar alegría.
6696a88c332699640dc4e4a3,depresion,Me siento vacío por dentro.
6696a88c332699640dc4e4a4,depresion,Me siento como si estuviera en una niebla.
6696a88c332699640dc4e4a5,depresion,Tengo problemas para aceptar el apoyo de los demás.
6696a88c332699640dc4e4a6,ansiedad,Me preocupo demasiado por todo.
6696a88c332699640dc4e4a7,ansiedad,Tengo miedo de no poder ser yo mismo.
6696a88c332699640dc4e4a8,ansiedad,Tengo miedo de no poder ser quien quiero ser.
6696a88c332699640dc4e4a9,depresion,Siento que estoy perdiendo mi capacidad de ver la belleza en el mundo.
6696a88c332699640dc4e4aa,depresion,Me siento impotente.
6696a88c332699640dc4e4ab,depresion,Siento que estoy en un túnel oscuro.
6696a88c332699640dc4e4ac,depresion,Me siento como si estuviera viviendo una mentira.
6696a88c332699640dc4e4ad,ansiedad,Tengo miedo de ser rechazado.
6696a88c332699640dc4e4ae,depresion,Me siento solo incluso cuando estoy con gente.
6696a88c332699640dc4e4af,depresion,No puedo recordar la última vez que fui feliz.
6696a88c332699640dc4e4b0,depresion,Siento que no tengo control sobre mi vida.
6696a88c332699640dc4e4b1,ansiedad,Siento que estoy en constante alerta.
6696a88c332699640dc4e4b2,ansiedad,Me cuesta respirar cuando estoy ansioso.
6696a88c332699640dc4e4b3,ansiedad,Tengo miedo de situaciones cotidianas.
6696a88c332699640dc4e4b4,ansiedad,Tengo miedo de no poder ser quien quiero ser.
6696a88c332699640dc4e4b5,ansiedad,Tengo miedo de no poder ser fuerte.
6696a88c332699640dc4e4b6,ansiedad,Siento que mi ansiedad está afectando mi salud.
6696a88c332699640dc4e4b7,ansiedad,Siento que mi ansiedad está fuera de control.
6696a88c332699640dc4e4b8,depresion,Me siento desconectado de los demás.
6696a88c332699640dc4e4b9,ansiedad,Tengo miedo de fracasar.
6696a88c332699640dc4e4ba,depresion,Tengo problemas para encontrar equilibrio en mi vida.
6696a88c332699640dc4e4bb,depresion,Me siento desconectado de mis emociones.
6696a88c332699640dc4e4bc,depresion,Siento que estoy perdiendo mi capacidad de ser feliz.
6696a88c332699640dc4e4bd,depresion,Me siento solo incluso cuando estoy con gente.
6696a88c332699640dc4e4be,depresion,Siento que no puedo avanzar en la vida.
6696a88c332699640dc4e4bf,depresion,Tengo problemas para encontrar claridad en mi mente.
6696a88c332699640dc4e4c0,ansiedad,Tengo miedo de ser juzgado negativamente.
6696a88c332699640dc4e4c1,depresion,Siento que no tengo control sobre mi vida.
6696a88c332699640dc4e4c2,ansiedad,Tengo miedo de no poder ser feliz.
6696a88c332699640dc4e4c3,depresion,Tengo problemas para encontrar placer en nada.
6696a88c332699640dc4e4c4,ansiedad,Tengo miedo de no poder ser quien quiero ser.
6696a88c332699640dc4e4c5,depresion,Tengo dificultad para tomar decisiones.
6696a88c332699640dc4e4c6,depresion,Siento que la vida no tiene sentido.
6696a88c332699640dc4e4c7,depresion,Me siento sin dirección.
6696a88c332699640dc4e4c8,ansiedad,Me siento agotado por mi ansiedad.
